profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,enterpriseValue,earningsQuarterlyGrowth,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield
0.5192399999999999,0.0,26418000.0,0.030280001,0.24787001,1.6380000000000001,137702000.0,7.519,0.623,1089056950.0,32086000.0,369852000.0,19.30386096,237080504.0,22.713499999999996,1042647346.0,0.763,2.125,1.444716,2334.941368,1145.032063,2140.976326,1799.179825,0.026843871
-1.00366,-0.82735,-764513899.5,-0.01372,-0.2101,-241.49807290000004,414824689.9,2.4053208059999998,0.298,414824689.9,-416342677.7,5238438199.0,30.38183756,1560767634.0,7.476,-3439256514.0,0.44299999999999995,-8.291,2.6865669999999997,224.9382051,79.15616836,138.5106457,149.0747456,0.026843871
0.19459,0.27386,96478203920.0,0.00321,0.07193,6.695752000000001,49427699663.0,39.606716,0.085,46634664000.0,9091804151.0,1400000000000.0,1118.668852,845000000000.0,91.103,-468000000000.0,0.266,-9.466000000000001,2.0136830000000003,68.22976,33.91462,62.908145,62.69193488,0.02049483
0.23617001,0.41181999999999996,-48142503698.0,0.0041600000000000005,0.07462,0.8516940000000001,19851655698.0,5.08896,0.361,17691204000.0,4688440000.0,211000000000.0,54.155016,228000000000.0,14.100999999999999,72230804996.0,3.88,3.639,2.111672,14.098304,6.652166,13.60557369,12.85058878,0.010188486
0.32535,0.41467997,11970835849.0,0.00435,0.07862000000000001,0.743318,9388659849.0,2.330084,0.247,8853848000.0,3022748151.0,127000000000.0,31.388988,275000000000.0,8.537,193000000000.0,0.713,20.555,1.070757,13.031036,7.307134,12.02783824,10.81096424,0.03625883
0.20711999999999997,0.3425,32268953321.0,0.00255,0.07037,1.127346,23398612869.0,8.025714,0.18899999999999997,21167482000.0,4702576000.0,1090000000000.0,355.711236,408000000000.0,22.531,-632000000000.0,0.44299999999999995,-26.996,2.082098,15.89122,7.6734919999999995,14.19889224,14.36556275,0.0673968
0.29558,0.39051998,61961623282.0,0.00613,0.09536,5.523642,7978594226.0,19.167238,0.479,7211716000.0,2299456000.0,110000000000.0,264.24542599999995,44349342794.0,53.442,-34645234373.0,0.44299999999999995,-4.342,1.629629,86.51231999999999,48.15664,83.82189758,77.91848016,0.006040637
0.14914000000000002,0.27001,-8925352487.0,0.00425,0.055120002,2.178122,7131765347.0,16.731134,0.12,6904729200.0,928690417.2,18544306549.0,45.734671999999996,48903313924.0,43.427,51715949396.0,0.509,7.251,1.9469319999999999,42.4669,19.6137,40.4643,37.46817127,0.014096418999999999
0.0954,0.22469999,25160901472.0,0.0016600000000000002,0.03217,0.242668,8545212151.0,9.104762,0.415,6610936000.0,689130000.0,119000000000.0,126.645602,113000000000.0,22.514,6789944654.0,0.44299999999999995,0.795,1.560433,14.227884,7.730036,13.41601229,12.55379875,0.05843933
0.18777001,0.30146,20272344265.0,0.0057,0.06813999999999999,2.72707,5287020815.0,16.089123999999998,-0.049,5357700674.0,896108105.7,52813275734.0,160.71336200000002,19424041925.0,41.717,-24641164706.0,0.22,-4.6610000000000005,1.582633,25.609720000000003,13.7237,24.40717755,22.81475126,0.022388058
